,AnimalID,SessionID,Ntrials,Protocol,Stim,FiberSide,FiberArea,StimSide,StimPort,Contralateral,InitialBias,ProgressionBlockIndex,BiasToStimMovement
492,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,329.5,14.511235723836055
493,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,334.5,10.820759533359865
494,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,339.5,5.344569057169387
495,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,344.5,-3.2268595142591856
496,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,349.5,-5.250669038068711
497,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,354.5,-10.369716657116328
498,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,359.5,-10.74386631698027
499,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,364.5,-10.607811895211569
500,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,369.5,-6.798288085687762
501,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,374.5,-2.750669038068711
502,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,379.5,3.133684703427889
503,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,384.5,2.3683785809789093
504,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,389.5,6.832664295264625
505,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,394.5,11.654092866693198
506,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,399.5,14.352505565105897
507,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,404.5,17.328696041296364
508,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,409.5,10.03844660818979
509,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,414.5,6.535045247645577
510,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,419.5,11.931870644470973
511,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,424.5,21.0588547714551
512,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,429.5,21.654092866693194
513,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,434.5,19.332664295264625
514,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,439.5,20.820759533359873
515,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,444.5,5.820759533359858
516,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,449.5,13.67790239050272
